x	y
0.0	0.0
0.0016027510529638047	0.25611748037868076
0.00625794253255579	0.5268918449130993
0.01199419765975425	0.7869671403787918
0.018353247268837566	1.0534356939497667
0.02374969232200991	1.313960136295201
0.02653266415749264	1.5697720071983312
0.02205579921495533	1.8337640931484382
0.009255059602258493	2.0933183001497726
-0.01698986394871455	2.3769815960522305
-0.0609313760721375	2.677485047504516
-0.1152969071738117	2.9546653548578754
-0.17963345895376417	3.232591930365058
-0.2506374248925413	3.5040941545743247
-0.3326100208194124	3.7861318707610785
-0.40979319430647054	4.034206705652913
-0.4945009467400205	4.292243457530106
-0.5810408399881709	4.539198444763259
-0.6791708730730082	4.7999603936646045
-0.7729032416924461	5.032886393331605
-0.8722048202539839	5.269016987124991
-0.9792133115439029	5.514541972066024
-1.0872553492452366	5.74995978680182
-1.207002097990126	5.9945782927172555
-1.3235466552096355	6.220249315008624
-1.4482630648776897	6.453352954216475
-1.5827068716025736	6.696757823550405
-1.717202279226494	6.940428212581805
-1.8441326161914524	7.181019668162337
-1.9515782559023298	7.396242251131168
-2.0857339848202114	7.663597061478993
-2.2141309962203994	7.914554111181277
-2.338842831925477	8.158050005707628
-2.45829678459223	8.399038437046647
-2.5700187867800968	8.637258860273889
-2.6720963274236067	8.869420408122332
-2.7745414229433023	9.123000074371495
-2.8761293077125902	9.401357402113307
-2.9609796751957345	9.655389867407994
-3.042571456590188	9.91465898609335
-3.114186685372567	10.161444199872642
-3.178900249648337	10.404040228758982
-3.2409362108351703	10.658978654586448
-3.2998246091270893	10.926360596662823
-3.352483742423735	11.20220199286409
-3.3983142554200714	11.479445182273578
-3.4361835401913217	11.757217996161124
-3.465804692454091	12.006545167286825
-3.4961997240777336	12.259227610373573
-3.4959990759824944	12.257694431475633
